book_author,book_name,book_price,book_type
J.K. Rowling,Harry Potter and the Philosopher's Stone,"280,0,0","Paperback,Kindle Edition,Audible Audiobook"
"Arun Tiwari,A. P. J. Abdul Kalam",Wings of Fire: An Autobiography of Abdul Kalam,261,"Paperback,Audio CD"
Harper Lee,To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,"325,99,0","Paperback,Kindle Edition,Audible Audiobook"
Sudha Murty,Wise and Otherwise: A salute to Life,"183,119","Paperback,Kindle Edition,MP3 CD"
Franz Kafka,Metamorphosis,"70,33,0","Paperback,Kindle Edition,Audible Audiobook"
Arundhati Roy,God of Small Things: Booker Prize Winner 1997- English,"274,99","Paperback,Kindle Edition,Hardcover"
Bipan Chandra,India's Struggle for Independence: 1857-1947,"250,69","Paperback,Kindle Edition"
Ruskin Bond,"The Room on the Roof: An award-winning novel by Ruskin Bond, first book in the famous Rusty series, a must-read illustrated classic","209,172,0","Paperback,Kindle Edition,Audible Audiobook"
Khaled Hosseini,The Kite Runner: Tenth anniversary edition,"334,185,1,135","Paperback,Kindle Edition,Hardcover"
Khaled Hosseini,A Thousand Splendid Suns,"334,113","Paperback,Kindle Edition,Hardcover"
George Orwell,1984,"141,29,0","Paperback,Kindle Edition,Audible Audiobook"
Khushwant Singh,Train to Pakistan,"250,107,0","Paperback,Kindle Edition,Audible Audiobook"
A.P.J. Abdul Kalam,My Journey: Transforming Dreams into Actions,"123,49,0","Paperback,Kindle Edition,Audible Audiobook"
Gabriel Garcia Marquez,One Hundred Years of Solitude (International Writers S.),"225,213","Paperback,Kindle Edition,Hardcover"
Ruskin Bond,The Night Train at Deoli and Other Stories,"168,129,0","Paperback,Kindle Edition,Audible Audiobook"
Oscar Wilde,The Picture of Dorian Gray,"129,49,0","Paperback,Kindle Edition,Audible Audiobook"
Ernest Hemingway,The Old Man and the Sea,"110,46","Paperback,Kindle Edition,Hardcover"
Jawaharlal Nehru,The Discovery of India,"449,320","Paperback,Kindle Edition,Hardcover"
J. D. Salinger,The Catcher in the Rye,"235,223","Paperback,Kindle Edition,Hardcover"
Aravind Adiga,The White Tiger: Booker Prize Winner 2008,"228,0,6,402","Paperback,Audible Audiobook,Hardcover"
Rainbow Rowell,Eleanor & Park,"334,270,1,547","Paperback,Kindle Edition,Hardcover"
Stephen King,The Shining,"279,216","Paperback,Kindle Edition,Library Binding"
Khaled Hosseni,And the Mountains Echoed,"334,217,0","Paperback,Kindle Edition,Audible Audiobook"
Margaret Atwood,The Handmaid's Tale (Contemporary Classics),"329,240,0","Paperback,Kindle Edition,Audible Audiobook"
Manu S. Pillai,Ivory Throne: Chronicles of the House of Travancore,"440,404","Paperback,Kindle Edition"
Salman Rushdie,Midnight's Children,"380,240,0","Paperback,Kindle Edition,Audible Audiobook"
Satyajit Ray,The Complete Adventures of Feluda Vol. 1,"471,216","Paperback,Kindle Edition"
Amartya Sen,"The Argumentative Indian: Writings on Indian History, Culture and Identity","329,243","Paperback,Kindle Edition,Hardcover"
"Dominique Lapierre,Larry Collins",Freedom At Midnight,"559,369","Paperback,Kindle Edition,Hardcover"
"Malala Yousafzai,Christina Lamb",I Am Malala: The Girl Who Stood Up for Education and was Shot by the Taliban,"255,189","Paperback,Kindle Edition,Hardcover"
Haruki Murakami,"1Q84: Books 1, 2 & 3: The Complete Trilogy",630,Paperback
Jojo Moyes,Me Before You: The international bestselling phenomenon,"316,198,0","Paperback,Kindle Edition,Audible Audiobook"
Leo Tolstoy,The Greatest Short Stories of Leo Tolstoy,"153,17,380","Paperback,Kindle Edition,Hardcover"
Rana Ayyub,Gujarat Files: Anatomy of a Cover Up,"246,0","Paperback,Kindle Edition"
Joseph Heller,Catch-22,"276,216,0","Paperback,Kindle Edition,Audible Audiobook"
Daphne Du Maurier,Rebecca (Virago Modern Classics),"332,142,0","Paperback,Kindle Edition,Audible Audiobook"
Vladimir Nabokov,Lolita (The Penguin Vladimir Nabokov Hardback Collection),"272,250,1,535","Paperback,Kindle Edition,Hardcover"
Shashi Tharoor,An Era of Darkness: The British Empire in India,"602,551,0","Hardcover,Kindle Edition,Audible Audiobook"
Julian Barnes,Sense of An Ending: Booker Prize Winner 2011,"276,216,0","Paperback,Kindle Edition,Audible Audiobook"
Mark Haddon,The Curious Incident of the Dog in the Night-time: Vintage Children's Classics,"205,177,0","Paperback,Kindle Edition,Audible Audiobook"
Gabriel Garcia Marquez,Love in the Time of Cholera,"261,247,0","Paperback,Kindle Edition,Audible Audiobook"
Albert Camus,The Stranger ALBERT CAMUS (Vintage International),"396,0","Paperback,Audible Audiobook,Hardcover"
Rahul Pandita,Our Moon Has Blood Clots: A Memoir of a Lost Home in Kashmir,"276,193","Paperback,Kindle Edition,Hardcover"
Shashi Tharoor,The Great Indian Novel,"340,206,0","Paperback,Kindle Edition,Audible Audiobook"
Gregory David Roberts,Shantaram,"406,299","Paperback,Kindle Edition,Hardcover"
"Jay Rubin,Haruki Murakami",The Wind-Up Bird Chronicle,"479,432,0","Paperback,Kindle Edition,Audible Audiobook"
Chinua Achebe,Things Fall Apart (Penguin Modern Classics),"335,204","Paperback,Kindle Edition,Hardcover"
R. K. Narayan,The Guide,156,"Paperback,Hardcover"
Mulk Raj Anand,Untouchable,"170,161","Paperback,Kindle Edition"
Albert Camus,The Myth of Sisyphus (Penguin Great Ideas),"208,196,245","Mass Market Paperback,Kindle Edition,Paperback"
Graeme Simsion,The Rosie Project (The Rosie Project Series),"379,198,0","Paperback,Kindle Edition,Audible Audiobook"
Chimamanda Ngozi Adichie,Americanah,"292,228,0","Paperback,Kindle Edition,Audible Audiobook"
Franz Kafka,The Trial (Penguin Modern Classics),"251,238,0","Paperback,Kindle Edition,Audible Audiobook"
Nivedita Menon,Seeing Like a Feminist,"248,145","Paperback,Kindle Edition"
Sanjeev Sanyal,The Incredible History of India's Geography,"198,96","Paperback,Kindle Edition"
Keigo Higashino,The Devotion Of Suspect X,"454,189,0","Paperback,Kindle Edition,Audible Audiobook"
Leo Tolstoy,Anna Karenina (Penguin Classics),"287,49,0","Paperback,Kindle Edition,Audible Audiobook"
William Dalrymple,The Last Mughal,"424,320","Paperback,Kindle Edition,Hardcover"
Fyodor Dostoyevsky,Crime and Punishment (Penguin Classics),"295,280","Paperback,Kindle Edition,Hardcover"
Sudha Murty,House of Cards: A Novel,"201,107","Paperback,Kindle Edition"
Manu Joseph,The Illicit Happiness Of Other People,"335,252","Paperback,Kindle Edition,Hardcover"
Chandra Satish,A History of Medieval India,"380,156","Paperback,Kindle Edition"
Chimamanda Ngozi Adichie,Purple Hibiscus,"260,242,0","Paperback,Kindle Edition,Audible Audiobook"
Swati Chaturvedi,I Am A Troll: Inside the Secret World of the BJP’s Digital Army,"196,129","Paperback,Kindle Edition"
